neg_type,feature_type,model,mean_auc,std_auc,n_pos,n_neg
neg_control,biophysical,LR,0.8559168183299102,0.008260378952450296,2245,5901
neg_control,biophysical,RF,0.8963552855856243,0.006997838931123876,2245,5901
neg_control,sequence,LR,0.8981141143553266,0.0061536089175141685,2245,5901
neg_control,sequence,RF,0.9000571975445402,0.004713389932687184,2245,5901
swapped,biophysical,LR,0.6852834030321892,0.02659842084324416,2245,5324
swapped,biophysical,RF,0.8629080732195306,0.011475364495570552,2245,5324
swapped,sequence,LR,0.618828586531104,0.02349231124007292,2245,5324
swapped,sequence,RF,0.8804632202624569,0.010836131959773874,2245,5324
