difficulty_level,level_name,feature_type,model,seed,fold,auc,mean_neg_dist_bio,n_unique_negatives,n_sampled,replacement_used,is_anchor
1,trivial_far,biophysical,lr,3,2,0.9450716774660437,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,3,3,0.9291563623277553,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,3,4,0.9368157621614381,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,3,0,0.9821003885576474,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,3,1,0.981227590881136,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,3,2,0.9761604972872577,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,3,3,0.9437979387137674,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,3,4,0.97312430948475,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,3,0,0.9359801031687546,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,3,1,0.940637015157664,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,3,2,0.9372074442496977,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,3,3,0.9108366077070178,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,3,4,0.9250267836218152,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,3,0,0.95936474174315,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,3,1,0.9557110044724104,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,3,2,0.9459417628431713,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,3,3,0.9154772216573143,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,3,4,0.9352505942616092,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,4,0,0.9519424448380842,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,4,1,0.9587532224044997,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,4,2,0.9552896699105459,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,4,3,0.9394237326427384,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,4,4,0.947872340425532,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,4,0,0.9766203093003681,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,4,1,0.9824232481837356,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,4,2,0.9734983292697716,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,4,3,0.9494144865932281,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,4,4,0.9730105545317473,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,4,0,0.9304513875802458,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,4,1,0.9198207171314742,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,4,2,0.9375033979181739,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,4,3,0.8988038707895958,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,4,4,0.9213813034009046,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,4,0,0.953655196673325,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,4,1,0.9536727041414175,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,4,2,0.9471973970901274,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,4,3,0.9171746415586916,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,4,4,0.9398601105712849,8.74542,4894,2445,False,False
2,very_easy,biophysical,lr,0,0,0.8698592892517736,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,0,1,0.888859137900017,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,0,2,0.852222970345061,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,0,3,0.896086810792693,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,0,4,0.8911035183613043,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,0,0,0.9176356913398473,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,0,1,0.9346082561783274,4.43523,4886,2445,False,False
